"name","country_code","sub_code","lat","lng","Population","r2value","pvalue"
"Birmingham, AL","US","US-AL-630",33.5277,-86.7987,744189,6.11799208123282e-05,0.881613435653104
"Dothan, AL","US","US-AL-606",31.2335,-85.4068,71620,0.00319533108317551,0.281431616376145
"Huntsville, AL","US","US-AL-691",34.6988,-86.6412,309716,0.000101247239216499,0.848068917549199
"Montgomery, AL","US","US-AL-698",32.3473,-86.2666,255908,0.000894325075006667,0.571151667910992
"Anchorage, AK","US","US-AK-743",61.1508,-149.1091,253421,0.0041187759444562,0.221265985644345
"Fairbanks, AK","US","US-AK-745",64.8353,-147.6534,64732,0.00298243461116306,0.298750697708375
"Phoenix, AZ","US","US-AZ-753",33.5722,-112.0891,4081849,0.0162820420208402,0.014710313143274
"Tucson, AZ","US","US-AZ-789",32.1545,-110.8782,868391,0.000916213076512586,0.564319713006437
"Fort Smith, AR","US","US-AR-670",35.3493,-94.3695,125562,0.000965191099157106,0.55408420197197
"Jonesboro, AR","US","US-AR-734",35.8211,-90.6793,73788,0.00403758728043018,0.225884454617965
"Little Rock, AR","US","US-AR-693",34.7255,-92.358,442699,0.00248271382252697,0.342485879618313
"Bakersfield, CA","US","US-CA-800",35.353,-119.0359,574362,0.00166909653995705,0.436466852235626
"Redding, CA","US","US-CA-868",40.5698,-122.365,120270,0.0192623665780199,0.00792317421797914
"Fresno, CA","US","US-CA-866",36.7831,-119.7941,698021,1.91744656526254e-07,0.993431113811592
"Los Angeles, CA","US","US-CA-803",34.1139,-118.4068,12815475,0.0534688668825121,0.188243265255542
"San Diego, CA","US","US-CA-825",32.8312,-117.1225,3210314,0.052086160185373,1.06515230294993e-05
"Santa Barbara, CA","US","US-CA-855",34.4285,-119.7202,204034,0.00257765453777478,0.333410100313729
"Colorado Springs, CO","US","US-CO-752",38.8674,-104.7606,623946,0.0124313086565141,0.033216132424822
"Denver, CO","US","US-CO-751",39.7621,-104.8759,2787266,0.00191452413577312,0.404576742526368
"Grand Junction, CO","US","US-CO-773",39.0877,-108.5673,136688,0.00106033359168468,0.535164746318141
"New Haven, CT","US","US-CT-533",41.3112,-72.9246,568144,0.00221960986687917,0.369452892243741
"Gainesville, FL","US","US-FL-592",29.6804,-82.3458,199695,0.000377851128572963,0.71128478741025
"Jacksonville, FL","US","US-FL-561",30.3322,-81.6749,1156291,0.00300311405426107,0.296411797153002
"Miami, FL","US","US-FL-528",25.7839,-80.2102,6381966,0.0238842461800495,0.00307378762964398
"Orlando, FL","US","US-FL-534",28.4772,-81.3369,1776841,0.000827383817190586,0.583850391572239
"Panama City, FL","US","US-FL-656",30.1995,-85.6003,145239,0.000435206704537172,0.691192984136769
"Tampa, FL","US","US-FL-539",27.9942,-82.4451,2804240,0.00302529478815597,0.301389886310713
"West Palm Beach, FL","US","US-FL-548",26.7469,-80.1316,110222,0.015910009236207,0.0159012008493609
"Albany, GA","US","US-GA-525",31.5776,-84.1762,90515,0.000320757309116557,0.733090014408626
"Atlanta, GA","US","US-GA-524",33.7627,-84.4225,5228750,0.00341703199727334,0.26930970850773
"Augusta, GA","US","US-GA-520",33.3645,-82.0708,389383,0.00201866725502985,0.392071667623857
"Columbus, GA","US","US-GA-522",32.51,-84.8771,259160,0.00244766751901862,0.345919885798691
"Macon, GA","US","US-GA-503",32.8065,-83.6974,152663,2.69639897494173e-05,0.921244257355299
"Savannah, GA","US","US-GA-507",32.0281,-81.1785,280082,0.00623474235409562,0.133212335761761
"Tallahassee, FL","US","US-FL-530",30.4551,-84.2527,253030,0.00150014906968178,0.460691968136481
"Honolulu, HI","US","US-HI-744",21.3294,-157.846,833671,2.04464201297491e-06,0.978280516681425
"Boise, ID","US","US-ID-757",43.6007,-116.2312,385218,0.001291264540266,0.493730446753551
"Idaho Falls, ID","US","US-ID-758",43.4872,-112.0363,97548,0.0781441788598507,5.60426392707549e-08
"Twin Falls, ID","US","US-ID-760",42.5648,-114.4617,54455,0.00220995029114571,0.370497727885368
"Champaign, IL","US","US-NA-648",40.1144,-88.2735,156794,0.00268729428730075,0.32332306249934
"Chicago, IL","US","US-IL-602",41.8373,-87.6862,8675982,0.038200366611373,0.000171589218163675
"Davenport, IA","US","US-NA-682",41.5563,-90.6052,287413,0.000301868259628274,0.742508269424027
"Bloomington, IL","US","US-IL-675",40.4757,-88.9703,134892,0.0169095662585976,0.01290451656938
"Rockford, IL","US","US-IL-610",42.2598,-89.0641,285562,0.00891791587502501,0.0715433151575271
"Evansville, IN","US","US-IN-649",37.9881,-87.5341,232285,2.50824023274485e-05,0.924033201434976
"Fort Wayne, IN","US","US-IN-509",41.0885,-85.1436,328564,0.00446320996391871,0.202877564632829
"Indianapolis, IN","US","US-IN-527",39.7771,-86.1458,1564699,0.0168847369077001,0.0129714641197649
"Lafayette, IN","US","US-IN-582",40.399,-86.8593,159293,0.000147162797191196,0.817332473845363
"South Bend, IN","US","US-IN-588",41.6771,-86.2692,281100,0.00204876179089436,0.388561512012834
"Terre Haute, IN","US","US-IN-581",39.4654,-87.3763,92722,0.000714159378405902,0.610824855775227
"Cedar Rapids, IA","US","US-IA-637",41.9667,-91.6781,186160,0.0282106692509112,0.00127841848626385
"Des Moines, IA","US","US-IA-679",41.5725,-93.6105,481222,0.00026002509279474,0.75881554889002
"Sioux City, IA","US","US-IA-624",42.4959,-96.3901,106279,0.000165103208248723,0.806725404582851
"Topeka, KS","US","US-KS-605",39.0346,-95.6955,148960,0.000155346560990827,0.812413818323801
"Wichita, KS","US","US-KS-678",37.6897,-97.3441,483057,0.000516859053073635,0.665081023783438
"Bowling Green, KY","US","US-KY-736",36.9715,-86.4375,90448,0.00407482157408218,0.223752207889588
"Lexington, KY","US","US-KY-541",38.0423,-84.4587,315939,0.00401798735791929,0.227016619769511
"Louisville, KY","US","US-KY-529",38.1663,-85.6485,1011696,0.00281039325507481,0.31247083525186
"Alexandria, LA","US","US-LA-644",31.2923,-92.4702,82131,0.00178361449619981,0.421137674931813
"Baton Rouge, LA","US","US-LA-716",30.4419,-91.131,583613,0.000247295059681946,0.764615404063434
"Lafayette, LA","US","US-LA-642",30.2084,-92.0323,265746,0.000163486635229643,0.807655374155181
"Lake Charles, LA","US","US-LA-643",30.2022,-93.2141,153633,0.0163860973706876,0.0155151511734448
"New Orleans, LA","US","US-LA-622",30.0687,-89.9288,1029123,0.000275331534253469,0.75237494970778
"Shreveport, LA","US","US-LA-612",32.4659,-93.7959,287432,0.00173686607463552,0.427295864864168
"Bangor, ME","US","US-ME-537",44.8322,-68.7906,59107,0.00145315649199171,0.467806293133186
"Portland, ME","US","US-ME-500",43.6773,-70.2715,206023,0.0149544027929728,0.0194351901809062
"Baltimore, MD","US","US-MD-512",39.3051,-76.6144,2170504,0.00433259138275472,0.209630131436955
"Salisbury, MD","US","US-MD-576",38.3755,-75.5867,106034,0.00337089303873986,0.268574234328002
"Providence, RI","US","US-RI-521",41.823,-71.4187,1206642,0.0104119216031083,0.0514330195340542
"Springfield, MA","US","US-MA-543",42.1155,-72.5395,628076,0.00146373655456275,0.466189341642322
"Detroit, MI","US","US-MI-505",42.3834,-83.1024,3522206,0.00147828689146844,0.463980149695738
"Flint, MI","US","US-MI-513",43.0235,-83.6922,335354,6.12111611406384e-05,0.881583435552792
"Kalamazoo, MI","US","US-MI-563",42.2749,-85.5882,214083,0.00157769525265637,0.449319940642554
"Lansing, MI","US","US-MI-551",42.7142,-84.5601,320928,0.0187445444246314,0.00881756789778388
"Mankato, MN","US","US-MN-737",44.1711,-93.9773,61912,0.036704421241027,0.000231580750984804
"Minneapolis, MN","US","US-MN-613",44.9635,-93.2678,2926757,0.00173309207172121,0.427798897418196
"Rochester, MN","US","US-MN-611",44.0151,-92.4778,116713,8.73189309268905e-05,0.858980879609223
"Jackson, MS","US","US-MS-718",32.3163,-90.2124,338185,0.00283478767681413,0.310376931246149
"Jefferson City, MO","US","US-MO-604",38.5676,-92.1759,58279,0.000143789939873753,0.819401513598602
"Kansas City, MO","US","US-MO-616",39.1239,-94.5541,1615621,3.0824829644051e-05,0.915929791218354
"Springfield, MO","US","US-MO-619",37.1943,-93.2915,287222,0.00744951538214873,0.0996858053065747
"St. Joseph, MO","US","US-MO-638",39.7598,-94.821,80818,0.00314063582262895,0.28894176209328
"St. Louis, MO","US","US-MO-609",38.6358,-90.2451,2078283,0.00370961829704931,0.245761395694845
"Billings, MT","US","US-MT-756",45.7889,-108.5509,120800,0.0175450409464335,0.011306148810348
"Bozeman, MT","US","US-MT-754",45.6828,-111.0549,53949,0.00445049032915334,0.203523770930309
"Great Falls, MT","US","US-MT-755",47.5022,-111.2995,65624,0.00119294268603216,0.510666899100588
"Helena, MT","US","US-MT-766",46.5965,-112.0199,50227,0.00435343759008968,0.208534900811832
"Missoula, MT","US","US-MT-762",46.8685,-114.0095,90218,0.0221331053993879,0.00439392056843541
"Cheyenne, WY","US","US-WY-759",41.1405,-104.7927,78728,0.000194390146412154,0.790648831051957
"Omaha, NE","US","US-NE-652",41.2628,-96.0498,827786,0.0117486459791022,0.0384702224215599
"Las Vegas, NV","US","US-NV-839",36.2333,-115.2654,2073045,0.00170011909984806,0.432232065754945
"Reno, NV","US","US-NV-811",39.5497,-119.8483,433271,0.00090892990753811,0.565872754359334
"Boston, MA","US","US-MA-506",42.3188,-71.0846,4637537,4.10804726331537e-06,0.969217445556333
"Albuquerque, NM","US","US-NM-790",35.1053,-106.6464,758523,0.0129683186190962,0.0296103061170864
"Albany, NY","US","US-NY-532",42.6664,-73.7987,597270,0.000234663516337298,0.77053344155897
"Binghamton, NY","US","US-NY-502",42.1014,-75.9093,150747,0.00321516776953552,0.279940745231603
"Buffalo, NY","US","US-NY-514",42.9017,-78.8487,926261,0.0042410926250996,0.214518452455164
"Burlington, VT","US","US-VT-523",44.4877,-73.2314,108277,0.000506727316655152,0.668182561949106
"Elmira, NY","US","US-NY-565",42.0938,-76.8097,64664,0.00732281765810982,0.102623405016669
"New York, NY","US","US-NY-501",40.6943,-73.9249,19354922,0.0362231805077218,0.000287009522785752
"Rochester, NY","US","US-NY-538",43.168,-77.6162,711998,0.00797632691041634,0.0884139260198625
"Syracuse, NY","US","US-NY-555",43.0409,-76.1438,407259,0.000116769105555337,0.836989520623211
"Utica, NY","US","US-NY-526",43.0961,-75.226,114318,0.000562711477951191,0.651479023991485
"Watertown, NY","US","US-NY-549",43.9734,-75.9095,54980,0.00700906062080281,0.110312753326919
"Charlotte, NC","US","US-NC-517",35.2079,-80.8304,1467362,0.0273524447915834,0.00152064491664402
"Greensboro, NC","US","US-NC-518",36.0956,-79.8268,335588,0.0168937027624909,0.0129472485339254
"Greenville, NC","US","US-NC-545",35.5956,-77.3768,128385,0.0106167395411472,0.049181367755156
"Raleigh, NC","US","US-NC-560",35.8324,-78.6438,1018336,0.000983131390915836,0.550422505363407
"Wilmington, NC","US","US-NC-550",34.2101,-77.886,245910,0.0108338379126333,0.0469074935394779
"Cincinnati, OH","US","US-OH-515",39.1412,-84.506,1648254,0.00745300134749817,0.0996062846006124
"Cleveland, OH","US","US-OH-510",41.4767,-81.6805,1730363,0.000438725300515496,0.690011441176331
"Columbus, OH","US","US-OH-535",39.986,-82.9851,1528314,0.00108643620959665,0.530179425555678
"Dayton, OH","US","US-OH-542",39.7797,-84.1998,718169,0.00482796072544484,0.185327446306809
"Lima, OH","US","US-OH-558",40.741,-84.1121,69798,0.000863580350042891,0.582122389048194
"Toledo, OH","US","US-OH-547",41.6639,-83.5822,488672,0.00533265675906132,0.163857176907919
"Wheeling, WV","US","US-WV-554",40.0751,-80.6951,77206,0.000461615286234431,0.682455932160095
"Youngstown, OH","US","US-OH-536",41.0993,-80.6463,373728,0.00143600514672224,0.470446704010196
"Oklahoma City, OK","US","US-OK-650",35.4676,-97.5137,955998,0.000434104868320904,0.691564116258157
"Sherman, TX","US","US-TX-657",33.6266,-96.6195,67354,0.0113845760233758,0.0427618980831276
"Tulsa, OK","US","US-OK-671",36.1284,-95.9043,672054,0.0848994472446754,1.4184966290561e-08
"Wichita Falls, TX","US","US-TX-627",33.9072,-98.529,99617,0.00510881069999058,0.175396287736452
"Bend, OR","US","US-OR-821",44.0562,-121.3087,103349,0.0103121846837366,0.0535559618033102
"Eugene, OR","US","US-OR-801",44.0563,-123.1173,267568,0.000773162802560349,0.596452121106848
"Medford, OR","US","US-OR-813",42.3372,-122.8537,168219,0.00443598285935883,0.204263758721007
"Portland, OR","US","US-OR-820",45.5371,-122.65,2052796,0.00239689953276002,0.350977423925635
"Erie, PA","US","US-PA-516",42.1168,-80.0733,188079,0.00419498573722519,0.217032811260619
"Harrisburg, PA","US","US-PA-566",40.2752,-76.8843,441580,0.0016522880421935,0.438787774349443
"Altoona, PA","US","US-PA-574",40.5082,-78.4007,76096,0.00701188056258535,0.110240900540137
"Philadelphia, PA","US","US-PA-504",40.0077,-75.1339,5637884,7.32813351517847e-06,0.958894540341793
"Pittsburgh, PA","US","US-PA-508",40.4396,-79.9763,1715297,0.0110024285893813,0.0452179406424457
"Scranton, PA","US","US-PA-577",41.4044,-75.6649,389022,0.0091322994121168,0.0682060559516107
"Columbia, SC","US","US-SC-546",34.0376,-80.9037,566166,0.000246515437414354,0.764975838406774
"Myrtle Beach, SC","US","US-SC-570",33.7096,-78.8842,260487,4.74947041092724e-05,0.895605593933846
"Asheville, NC","US","US-SC-567",35.5704,-82.5537,309250,7.06867139891168e-05,0.872819882103856
"Rapid City, SD","US","US-SD-764",44.0716,-103.2205,88979,0.00731698935085363,0.102760788746845
"Sioux Falls, SD","US","US-SD-725",43.5397,-96.7321,180204,0.00834245114602117,0.0813947557632364
"Chattanooga, TN","US","US-TN-575",35.0657,-85.2487,407182,0.00356796589219642,0.254999745393761
"Jackson, TN","US","US-TN-639",35.6536,-88.8353,73685,0.00222265386043204,0.369124485279806
"Knoxville, TN","US","US-TN-557",35.9692,-83.9496,585249,0.00339647800425606,0.314382577983457
"Memphis, TN","US","US-TN-640",35.1046,-89.9773,1068873,0.00448097480062602,0.201979067893912
"Nashville, TN","US","US-TN-659",36.1715,-86.7843,1076645,0.00623490477992632,0.138712947628635
"Amarillo, TX","US","US-TX-634",35.1989,-101.831,206072,0.00287011486752993,0.307376767889921
"Austin, TX","US","US-TX-635",30.3006,-97.7517,1638716,0.0103360741175315,0.052294155106008
"Port Arthur, TX","US","US-TX-692",29.8554,-93.9264,157934,0.000600915866994717,0.640646455620409
"Corpus Christi, TX","US","US-TX-600",27.7261,-97.3755,341435,0.00086386047904407,0.654663843618786
"Fort Worth, TX","US","US-TX-623",32.7812,-97.3472,874168,0.0225990624806094,0.00399480231528924
"El Paso, TX","US","US-TX-765",31.8479,-106.4309,845674,0.0106435558575582,0.0488943327329351
"McAllen, TX","US","US-TX-636",26.2273,-98.2471,800904,0.0117571758799336,0.0383994822251387
"Houston, TX","US","US-TX-618",29.7869,-95.3905,5446468,0.023859296898365,0.00479023452428869
"Laredo, TX","US","US-TX-749",27.5617,-99.4874,260244,0.00385323439743797,0.236807732267678
"Lubbock, TX","US","US-TX-651",33.5642,-101.8871,262505,0.000269940392198745,0.75440485620221
"Midland, TX","US","US-TX-633",32.0249,-102.1137,144247,0.00257205279014799,0.333936612203454
"San Angelo, TX","US","US-TX-661",31.4426,-100.4501,99890,0.00132518655105112,0.488105763240603
"San Antonio, TX","US","US-TX-641",29.4658,-98.5254,2002530,0.0174179768900454,0.0116087100979058
"Tyler, TX","US","US-TX-709",32.3184,-95.3065,141116,0.00235345962350897,0.355385012541457
"Victoria, TX","US","US-TX-626",28.8285,-96.985,68271,0.00113084449529547,0.522461208396993
"Bryan, TX","US","US-TX-625",30.6657,-96.3668,84021,0.000216556852777758,0.779326261062463
"Salt Lake City, UT","US","US-UT-770",40.7774,-111.93,1098400,0.0137748383559771,0.0249392099108709
"Charlottesville, VA","US","US-VA-584",38.0375,-78.4855,102016,3.51135837130879e-06,0.971539658482017
"Harrisonburg, VA","US","US-VA-569",38.4362,-78.8735,74023,0.00390868818299108,0.233456442571585
"Norfolk, VA","US","US-NA-544",36.8945,-76.259,244703,0.0182860140536232,0.00969521687394361
"Richmond, VA","US","US-VA-556",37.5295,-77.4756,1059907,5.16551699380854e-06,0.965484337624304
"Lynchburg, VA","US","US-VA-573",37.4003,-79.1909,125004,0.00452850782154315,0.199597822658879
"Tacoma, WA","US","US-WA-819",47.2431,-122.4531,213418,0.0392657678921459,0.000138612394332438
"Spokane, WA","US","US-WA-881",47.6671,-117.433,403043,0.00594170663725845,0.141617363318153
"Kennewick, WA","US","US-WA-810",46.1979,-119.1732,232915,0.000493066554197802,0.672423028577222
"Charleston, WV","US","US-WV-564",38.3484,-81.6323,142858,0.00305476946476162,0.2922885106973
"Parkersburg, WV","US","US-WV-597",39.2624,-81.5419,64253,0.000408845877705187,0.700225788898741
"Duluth, MN","US","US-MN-676",46.7757,-92.1392,120101,2.24145144050257e-08,0.997725644469909
"Green Bay, WI","US","US-WI-658",44.515,-87.9896,208625,5.34394192368339e-05,0.889304354766146
"Eau Claire, WI","US","US-WI-702",44.82,-91.4951,107068,0.0154957411646972,0.0173442721528007
"Madison, WI","US","US-WI-669",43.0827,-89.3923,439553,0.0368696494806695,0.000224035045261413
"Milwaukee, WI","US","US-WI-617",43.0642,-87.9673,1377808,0.00163415464013892,0.441312880923349
"Kingsport, TN","US","US-TN-531",36.5224,-82.5452,118001,0.000133859075948407,0.825646145895347
"Washington, DC","US","US-DC-511",38.9047,-77.0163,5289420,0.00432282184828323,0.210145744178156
